Wohnung.com
RATGEBER
IMMOBILIENBEWERTUNG
STATISTIKEN
Adresse
Suche: Stadt, PLZ oder Adresse
Wohnfläche in m²
Wohnung.com Alle Städte
Alle Städte im Überblick
 Baden-Württemberg Bayern Berlin Brandenburg Bremen Hamburg Hessen Mecklenburg-Vorpommern Niedersachsen Nordrhein-Westfalen Rheinland-Pfalz Saarland Sachsen Sachsen-Anhalt Schleswig-Holstein Thüringen
Ø Mietpreis: von 0 bis 30 €/m²
Ø Kaufpreis: von 0 bis 10.000 €/m²
Niederdorf5,23 €/m² / 984 €/m²
Niederfrohna5,26 €/m² / 972 €/m²
Niederstriegis4,14 €/m² / 617 €/m²
Niederwiesa5,27 €/m² / 1.250 €/m²
Niederwürschnitz5,22 €/m² / 791 €/m²
Niesky5,67 €/m² / 826 €/m²
Nossen5,16 €/m² / 774 €/m²
O ∅ MIETE / ∅ KAUF
Obergurig5,18 €/m² / 725 €/m²
Oberlungwitz4,89 €/m² / 831 €/m²
Oberschöna5,30 €/m² / 963 €/m²
Oberwiera3,74 €/m² / 822 €/m²
Oberwiesenthal4,67 €/m² / 760 €/m²
Oderwitz4,51 €/m² / 583 €/m²
Oederan5,12 €/m² / 781 €/m²
Ohorn5,68 €/m² / 870 €/m²
Olbernhau5,19 €/m² / 705 €/m²
Olbersdorf4,56 €/m² / 686 €/m²
Oppach4,99 €/m² / 534 €/m²
Oschatz5,26 €/m² / 684 €/m²
Ostrau4,35 €/m² / 450 €/m²
Ostritz4,76 €/m² / 473 €/m²
Ottendorf-Okrilla6,24 €/m² / 1.526 €/m²
Otterwisch5,53 €/m² / 880 €/m²
Oybin4,82 €/m² / 1.162 €/m²
Oßling4,78 €/m² / 637 €/m²
P ∅ MIETE / ∅ KAUF
Pausa/Vogtl.5,11 €/m² / 610 €/m²
Pegau5,65 €/m² / 993 €/m²
Penig4,85 €/m² / 580 €/m²
Pirna5,83 €/m² / 1.391 €/m²
Plauen4,57 €/m² / 626 €/m²
Pockau4,89 €/m² / 572 €/m²
Priestewitz4,76 €/m² / 921 €/m²
Pulsnitz5,94 €/m² / 871 €/m²
Pöhl4,72 €/m² / 654 €/m²
Q ∅ MIETE / ∅ KAUF
R ∅ MIETE / ∅ KAUF
Rabenau5,57 €/m² / 1.175 €/m²
Rackwitz5,95 €/m² / 988 €/m²
Radeberg6,04 €/m² / 1.424 €/m²
Radebeul7,44 €/m² / 2.223 €/m²
Radeburg6,20 €/m² / 1.246 €/m²
Radibor4,15 €/m² / 692 €/m²
Rathmannsdorf6,22 €/m² / 581 €/m²
Rechenberg-Bienenmühle4,69 €/m² / 560 €/m²
Regis-Breitingen4,39 €/m² / 690 €/m²
Reinsdorf5,15 €/m² / 882 €/m²
Remse5,32 €/m² / 511 €/m²
Riesa5,20 €/m² / 863 €/m²
Rietschen4,86 €/m² / 589 €/m²
Rochlitz4,99 €/m² / 758 €/m²
Rodewisch4,93 €/m² / 695 €/m²
Rosenthal4,81 €/m² / 546 €/m²
Roßwein4,78 €/m² / 627 €/m²
Rötha5,00 €/m² / 982 €/m²
S ∅ MIETE / ∅ KAUF
Sandberg4,23 €/m² / 653 €/m²
Sayda4,80 €/m² / 710 €/m²
Scheibenberg5,01 €/m² / 678 €/m²
Schkeuditz5,54 €/m² / 1.390 €/m²
Schlettau4,81 €/m² / 553 €/m²
Schneeberg5,18 €/m² / 718 €/m²
Schwepnitz7,23 €/m² / 774 €/m²
Schönbach0,00 €/m² / 438 €/m²
Schöneck7,42 €/m² / 2.145 €/m²
Schönheide4,69 €/m² / 629 €/m²
Seelitz4,62 €/m² / 739 €/m²
Sehmatal4,89 €/m² / 736 €/m²
Seifhennersdorf4,15 €/m² / 526 €/m²
Speicher5,58 €/m² / 1.274 €/m²
St. Egidien4,74 €/m² / 817 €/m²
Stadt Wehlen5,61 €/m² / 1.353 €/m²
Stauchitz5,26 €/m² / 593 €/m²
Steinberg5,55 €/m² / 1.622 €/m²
Steinigtwolmsdorf4,90 €/m² / 726 €/m²
Strehla4,87 €/m² / 727 €/m²
Striegistal4,88 €/m² / 723 €/m²
Stützengrün4,48 €/m² / 665 €/m²
T ∅ MIETE / ∅ KAUF
Taucha6,05 €/m² / 1.494 €/m²
Taura4,86 €/m² / 536 €/m²
Tauscha5,51 €/m² / 907 €/m²
Thallwitz5,02 €/m² / 715 €/m²
Thum5,08 €/m² / 599 €/m²
Torgau5,10 €/m² / 854 €/m²
Treuen5,07 €/m² / 875 €/m²
Triebischtal5,24 €/m² / 1.022 €/m²
Trossin4,53 €/m² / 456 €/m²
U ∅ MIETE / ∅ KAUF
V ∅ MIETE / ∅ KAUF
W ∅ MIETE / ∅ KAUF
Waldenburg6,39 €/m² / 1.360 €/m²
Waldheim4,86 €/m² / 698 €/m²
Waltersdorf5,01 €/m² / 934 €/m²
Weinböhla6,53 €/m² / 1.724 €/m²
Weißenberg4,87 €/m² / 749 €/m²
Weißwasser/O.L.5,04 €/m² / 739 €/m²
Werdau4,65 €/m² / 682 €/m²
Wermsdorf5,07 €/m² / 707 €/m²
Wiedemar5,26 €/m² / 1.049 €/m²
Wildenfels5,46 €/m² / 748 €/m²
Wilkau-Haßlau5,13 €/m² / 733 €/m²
Wilsdruff6,42 €/m² / 1.358 €/m²
Wurzen5,01 €/m² / 690 €/m²
Wülknitz5,08 €/m² / 430 €/m²
X ∅ MIETE / ∅ KAUF
Z ∅ MIETE / ∅ KAUF
Zettlitz3,97 €/m² / 682 €/m²
Zittau4,56 €/m² / 560 €/m²
Zschaitz-Ottewig5,24 €/m² / 611 €/m²
Zschopau4,77 €/m² / 753 €/m²
Zschorlau5,35 €/m² / 829 €/m²
Zwenkau5,74 €/m² / 1.410 €/m²
Zwickau5,25 €/m² / 832 €/m²
Zwota4,18 €/m² / 586 €/m²
Zwönitz5,29 €/m² / 711 €/m²
Zöblitz4,32 €/m² / 426 €/m²
Ö ∅ MIETE / ∅ KAUF
Ü ∅ MIETE / ∅ KAUF
Wohnung.com 2022 Impressum & Datenschutz Nach oben
